Name_of_model,Metric,Score
"['100CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BE93245890>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.028613449551719957, 'precisions': [0.25, 0.018315018315018316], 'brevity_penalty': 0.42285993161133506, 'length_ratio': 0.5374280230326296, 'translation_length': 280, 'reference_length': 521}, {'rouge1': 0.1292249444483139, 'rouge2': 0.04196652907394113, 'rougeL': 0.09704484502071908, 'rougeLsum': 0.11284069734872229}, 0.47659062743186953, 0.4382894217967987, 0.45537860989570617, 0.3580094307236778, 0.4595263317227364]"
"['100CharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002BEA0D63950>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.08709446779954874, 'precisions': [0.28034682080924855, 0.0744047619047619], 'brevity_penalty': 0.6030348154718214, 'length_ratio': 0.6641074856046065, 'translation_length': 346, 'reference_length': 521}, {'rouge1': 0.1876587908569633, 'rouge2': 0.07804942248762473, 'rougeL': 0.14322570347984395, 'rougeLsum': 0.14999091428274752}, 0.72477867603302, 0.6834010720252991, 0.7012334942817688, 0.5835701212311769, 0.7178011685609818]"
"['100CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BEFFE43010>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.0446426556335774, 'precisions': [0.35944700460829493, 0.09134615384615384], 'brevity_penalty': 0.24636979033820391, 'length_ratio': 0.4165067178502879, 'translation_length': 217, 'reference_length': 521}, {'rouge1': 0.1769236197341894, 'rouge2': 0.04779319041614124, 'rougeL': 0.13095667953522955, 'rougeLsum': 0.13086568334193227}, 0.6616870880126953, 0.5793581902980804, 0.6161107182502746, 0.45309034432105033, 0.6222551301121712]"
"['100CharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF0041D550>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.11563390993883071, 'precisions': [0.23800738007380073, 0.056179775280898875], 'brevity_penalty': 1.0, 'length_ratio': 1.0403071017274472, 'translation_length': 542, 'reference_length': 521}, {'rouge1': 0.17908655236899504, 'rouge2': 0.07142741281427413, 'rougeL': 0.13127589341298912, 'rougeLsum': 0.14826693229506627}, 0.5731701791286469, 0.5519748151302337, 0.5606101393699646, 0.4614791095816084, 0.5665868520736694]"
"['100CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.faiss.FAISS object at 0x000002BEAD455150>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.06054630119686511, 'precisions': [0.21534653465346534, 0.030379746835443037], 'brevity_penalty': 0.74855996827486, 'length_ratio': 0.7754318618042226, 'translation_length': 404, 'reference_length': 521}, {'rouge1': 0.1741619834281778, 'rouge2': 0.060537860080879316, 'rougeL': 0.11888894000736105, 'rougeLsum': 0.13765243528401422}, 0.6409890472888946, 0.5996413290500641, 0.6172512412071228, 0.4957502698814225, 0.5918162867426873]"
"['100CharacterTextSplitter', 'intfloat/multilingual-e5-large', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CEC6939710>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.08402268388631193, 'precisions': [0.2391304347826087, 0.04950495049504951], 'brevity_penalty': 0.7722444714073268, 'length_ratio': 0.7946257197696737, 'translation_length': 414, 'reference_length': 521}, {'rouge1': 0.16271788646893354, 'rouge2': 0.043504236336712736, 'rougeL': 0.11719241599593422, 'rougeLsum': 0.13532854808590103}, 0.6847817182540894, 0.6219018131494523, 0.6502969622611999, 0.3993797960118851, 0.5747388258576394]"
"['100RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CF06ECB310>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.05247938119942859, 'precisions': [0.22911694510739858, 0.019559902200488997], 'brevity_penalty': 0.7839290547029778, 'length_ratio': 0.8042226487523992, 'translation_length': 419, 'reference_length': 521}, {'rouge1': 0.1373947061078919, 'rouge2': 0.021015873015873016, 'rougeL': 0.09506965631403412, 'rougeLsum': 0.10681755365057782}, 0.7141745984554291, 0.660239976644516, 0.6841013431549072, 0.48501525874657947, 0.6550273865461349]"
"['100RecursiveCharacterTextSplitter', 'sentence-transformers/paraphrase-multilingual-mpnet-base-v2', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002BE975D0210>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.04503986909966706, 'precisions': [0.3014705882352941, 0.04198473282442748], 'brevity_penalty': 0.4003399665511895, 'length_ratio': 0.5220729366602687, 'translation_length': 272, 'reference_length': 521}, {'rouge1': 0.17990874763565068, 'rouge2': 0.06730897350484291, 'rougeL': 0.13561010572477716, 'rougeLsum': 0.13351522206678357}, 0.7331687092781067, 0.6787015557289123, 0.7038677394390106, 0.5733768479121536, 0.6631030082702637]"
"['100RecursiveCharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.faiss.FAISS object at 0x000002CEFCDD92D0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.08453898409442774, 'precisions': [0.24161073825503357, 0.041189931350114416], 'brevity_penalty': 0.8474291022119145, 'length_ratio': 0.8579654510556622, 'translation_length': 447, 'reference_length': 521}, {'rouge1': 0.22252530707014068, 'rouge2': 0.09189666025031878, 'rougeL': 0.16119096284362552, 'rougeLsum': 0.16707402167792712}, 0.7188394486904144, 0.678298807144165, 0.6963670969009399, 0.5992815377428895, 0.681815579533577]"
"['100RecursiveCharacterTextSplitter', 'text-embedding-3-small', <langchain_community.vectorstores.qdrant.Qdrant object at 0x000002CF95BB48D0>]","['BLEU Score', 'ROUGE Score', 'Average Precision', 'Average Recall', 'Average F1 Score', 'Average SAS encoder Score', 'Average SAS transformer Score']","[{'bleu': 0.0365361766018495, 'precisions': [0.24414715719063546, 0.02413793103448276], 'brevity_penalty': 0.4759345584796064, 'length_ratio': 0.5738963531669866, 'translation_length': 299, 'reference_length': 521}, {'rouge1': 0.1607166405023548, 'rouge2': 0.047466259230965105, 'rougeL': 0.1294458398744113, 'rougeLsum': 0.1333540031397174}, 0.6439379334449769, 0.574775618314743, 0.6040349662303924, 0.4357061622150697, 0.5395510047674179]"
